GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US110010001001,110010001001,"Block Group 1, Census Tract 1, District of Columbia, District of Columbia",641,104,25,40,20,31,0,12,22,32,0,12,0,12,13,21,15,24,0,12,34,37,36,43,37,42,77,55,43,34,42,38,277,91
1500000US110010001002,110010001002,"Block Group 2, Census Tract 1, District of Columbia, District of Columbia",822,138,11,18,0,12,17,26,16,26,0,12,0,12,0,12,11,18,12,19,59,56,82,57,59,47,159,104,52,46,123,64,221,100
1500000US110010001003,110010001003,"Block Group 3, Census Tract 1, District of Columbia, District of Columbia",508,110,13,21,37,60,0,12,0,12,0,12,0,12,0,12,16,25,0,12,0,12,17,26,11,20,15,23,0,12,115,94,284,78
1500000US110010001004,110010001004,"Block Group 4, Census Tract 1, District of Columbia, District of Columbia",475,97,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,23,15,24,15,22,0,12,15,22,6,11,69,56,44,51,296,80
1500000US110010002011,110010002011,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia",4,5,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,5
1500000US110010002021,110010002021,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia",428,71,22,35,0,12,0,12,15,18,0,12,13,21,11,17,13,21,7,12,5,8,0,12,9,14,21,24,9,14,99,59,204,59
1500000US110010002022,110010002022,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia",343,65,11,19,7,11,11,17,0,12,0,12,15,22,0,12,34,32,0,12,8,12,5,7,0,12,10,17,37,37,54,43,151,55
1500000US110010002023,110010002023,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",419,90,60,51,11,18,0,12,26,25,10,16,0,12,0,12,0,12,25,39,0,12,41,36,38,35,33,32,15,18,60,35,100,47
1500000US110010002024,110010002024,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",482,124,92,69,0,12,0,12,0,12,56,56,0,12,8,13,0,12,0,12,48,44,10,16,12,19,18,19,33,28,52,37,153,93
1500000US110010003001,110010003001,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia",541,114,86,80,0,12,14,22,0,12,0,12,0,12,52,71,0,12,0,12,15,23,14,21,11,17,54,49,15,24,41,40,239,86
1500000US110010003002,110010003002,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia",811,142,36,34,19,29,48,77,44,35,16,25,0,12,17,19,13,22,22,35,128,76,27,32,174,70,33,39,14,23,81,51,139,110
1500000US110010003003,110010003003,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia",562,90,46,40,0,12,0,12,0,12,17,26,15,24,0,12,27,40,0,12,15,24,30,34,81,55,36,43,29,33,75,58,191,73
1500000US110010003004,110010003004,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia",649,113,9,15,0,12,0,12,0,12,0,12,16,29,14,21,17,26,15,24,0,12,0,12,46,47,30,34,40,38,192,107,270,96
1500000US110010004001,110010004001,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia",218,32,5,8,0,12,0,12,0,12,0,12,4,7,8,13,0,12,0,12,10,11,0,12,16,15,0,12,0,12,34,24,141,31
1500000US110010004002,110010004002,"Block Group 2, Census Tract 4, District of Columbia, District of Columbia",379,66,8,12,8,11,12,14,8,10,4,7,0,12,23,27,3,5,3,6,42,34,14,13,26,26,39,33,3,6,9,10,177,49
1500000US110010005011,110010005011,"Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia",1010,126,71,68,35,33,0,12,27,41,16,26,60,67,28,31,0,12,0,12,87,88,106,91,102,61,145,94,42,43,101,67,190,92
1500000US110010005012,110010005012,"Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia",942,152,28,36,0,12,21,24,67,57,0,12,0,12,74,99,42,50,18,30,29,36,42,43,120,67,153,83,134,75,72,55,142,75
1500000US110010005021,110010005021,"Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia",751,87,0,12,0,12,17,19,0,12,7,10,63,53,18,21,22,24,13,20,52,36,20,23,35,29,68,42,109,63,70,39,257,57
1500000US110010005022,110010005022,"Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia",858,97,28,26,24,39,0,12,7,12,18,21,19,21,48,53,41,32,0,12,78,46,76,41,80,48,124,70,80,48,102,46,133,46
1500000US110010006001,110010006001,"Block Group 1, Census Tract 6, District of Columbia, District of Columbia",585,115,40,49,0,12,14,22,0,12,0,12,22,25,0,12,0,12,0,12,14,24,38,23,34,41,44,43,56,45,103,60,220,113
1500000US110010006002,110010006002,"Block Group 2, Census Tract 6, District of Columbia, District of Columbia",558,102,11,19,0,12,0,12,0,12,0,12,0,12,15,24,65,73,15,24,94,99,14,22,37,42,29,32,33,31,41,33,204,93
1500000US110010006003,110010006003,"Block Group 3, Census Tract 6, District of Columbia, District of Columbia",336,57,14,22,19,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,29,23,54,41,15,23,27,30,15,23,163,51
1500000US110010006004,110010006004,"Block Group 4, Census Tract 6, District of Columbia, District of Columbia",647,87,41,64,0,12,0,12,14,22,0,12,0,12,14,22,0,12,0,12,24,28,27,30,64,48,88,62,30,34,75,74,270,91
1500000US110010007011,110010007011,"Block Group 1, Census Tract 7.01, District of Columbia, District of Columbia",686,126,111,84,0,12,0,12,16,26,0,12,37,43,52,46,31,37,0,12,82,44,90,79,85,55,60,44,39,48,26,30,57,34
1500000US110010007012,110010007012,"Block Group 2, Census Tract 7.01, District of Columbia, District of Columbia",1034,176,44,40,58,67,14,22,0,12,119,71,13,20,45,37,62,67,26,32,96,59,113,81,57,68,172,117,0,12,36,46,179,105
1500000US110010007013,110010007013,"Block Group 3, Census Tract 7.01, District of Columbia, District of Columbia",1135,154,27,31,15,24,16,25,66,83,29,33,58,56,0,12,27,32,51,46,17,27,65,53,146,84,180,96,76,54,154,94,208,93
1500000US110010007014,110010007014,"Block Group 4, Census Tract 7.01, District of Columbia, District of Columbia",580,120,20,33,27,31,36,41,0,12,60,74,98,85,0,12,43,53,0,12,27,32,0,12,82,55,40,38,60,57,21,33,66,47
1500000US110010007021,110010007021,"Block Group 1, Census Tract 7.02, District of Columbia, District of Columbia",788,135,30,35,8,13,42,32,13,20,0,12,24,31,11,19,15,25,29,33,48,46,140,87,146,94,170,90,41,42,36,43,35,31
1500000US110010007022,110010007022,"Block Group 2, Census Tract 7.02, District of Columbia, District of Columbia",738,154,102,88,41,35,48,62,28,35,47,48,0,12,0,12,10,16,75,102,135,85,88,56,133,103,15,25,16,25,0,12,0,12
1500000US110010007023,110010007023,"Block Group 3, Census Tract 7.02, District of Columbia, District of Columbia",723,129,13,20,0,12,0,12,41,38,0,12,0,12,11,17,16,25,0,12,51,46,138,100,56,35,173,115,122,116,94,76,8,16
